cn8_code,material_group,material_name,stage,sovereignty_rationale,contamination_risk,notes
25309050,rare_earths,Bastnaesite xenotime and similar REE minerals,ores,Primary natural source of rare-earth elements; China dominates global supply,LOW,Clean REE ore code; no contamination risk
28053010,rare_earths,Intermixtures or interalloys of rare-earth metals scandium and yttrium,refined_metals,Processed REE alloy form; magnet and catalyst feedstock; China ~90% global refining,LOW,
28053021,rare_earths,Cerium and lanthanum >=95% purity,refined_metals,High-purity separated REE metals; catalyst and glass polishing feedstock,LOW,
28053029,rare_earths,Praseodymium neodymium and samarium >=95% purity,refined_metals,NdFeB permanent magnet feedstock; wind turbines and EV motors; China dominance,LOW,Critical magnet metals
28053031,rare_earths,Gadolinium terbium and dysprosium >=95% purity,refined_metals,Heavy REE for high-temperature magnets; extreme supply concentration in China,LOW,Most supply-critical REE subgroup
28053039,rare_earths,Europium holmium erbium thulium ytterbium lutetium and yttrium >=95% purity,refined_metals,Heavy REE metals; phosphor and laser applications; China near-monopoly,LOW,
28053040,rare_earths,Scandium >=95% purity,refined_metals,Aerospace aluminium-scandium alloys; very limited global supply,LOW,
28053080,rare_earths,Rare-earth metals scandium and yttrium <95% purity,refined_metals,Lower-purity REE metals; intermediate processing stage,LOW,
28461000,rare_earths,Cerium compounds,chemical_precursors,Cerium oxide for catalytic converters and glass polishing; China dominant,LOW,
28469030,rare_earths,Scandium compounds,chemical_precursors,Scandium compounds for SOFC and Al-Sc alloys,LOW,Niche but strategically relevant
28469040,rare_earths,Lanthanum compounds,chemical_precursors,Lanthanum oxide for fluid catalytic cracking and battery alloys,LOW,
28469050,rare_earths,Praseodymium neodymium or samarium compounds,chemical_precursors,NdPr oxide is primary NdFeB magnet precursor; most trade-critical REE compound code,LOW,Highest sovereignty relevance in REE group
28469060,rare_earths,Gadolinium terbium or dysprosium compounds,chemical_precursors,Heavy REE compounds for high-temperature magnet dopants; extreme China concentration,LOW,
28469070,rare_earths,Europium holmium erbium thulium ytterbium lutetium or yttrium compounds,chemical_precursors,Mixed heavy REE compounds; phosphor and optical applications,LOW,
28469090,rare_earths,Compounds of mixtures of rare-earth metals yttrium and scandium,chemical_precursors,Mixed/unseparated REE compounds; early-stage processing,MEDIUM,May include low-value mixed carbonates
25309040,battery_metals,Spodumene petalite lepidolite amblygonite hectorite jadarite and similar lithium minerals,ores,Primary hard-rock lithium ore; Australia and Chile dominate; battery supply chain entry point,LOW,Clean lithium ore code introduced ~2022
28252000,battery_metals,Lithium oxide and hydroxide,chemical_precursors,LiOH is primary cathode precursor for NMC and LFP batteries; Chile/China refining dominance,LOW,Key battery chemical
28369100,battery_metals,Lithium carbonates,chemical_precursors,Li2CO3 is primary lithium commodity; battery cathode and electrolyte precursor,LOW,Benchmark lithium pricing reference
26040000,battery_metals,Nickel ores and concentrates,ores,Nickel ore for battery-grade nickel sulphate; Indonesia/Philippines dominance,LOW,Single CN8 code for all nickel ores
75011000,battery_metals,Nickel mattes,concentrates,Intermediate nickel smelter product; feedstock for Class 1 nickel,LOW,
75012000,battery_metals,Nickel oxide sinters and other intermediate products of nickel metallurgy,concentrates,Intermediate nickel products; HPAL and pyrometallurgical routes,LOW,
75021000,battery_metals,Nickel not alloyed unwrought,refined_metals,Class 1 nickel metal; battery and stainless steel feedstock,LOW,
26050000,battery_metals,Cobalt ores and concentrates,ores,Cobalt ore; DRC supplies ~70% of global mine production,LOW,Single CN8 code for all cobalt ores
81052000,battery_metals,Cobalt mattes and other intermediate products; unwrought cobalt; cobalt powders,refined_metals,Cobalt metal and intermediates; battery cathode and superalloy feedstock; DRC/China refining chain,LOW,
28220000,battery_metals,Cobalt oxides and hydroxides,chemical_precursors,CoO/Co(OH)2 for battery cathode precursors; China refining dominance,LOW,Single CN8 code — no subheading split
26020000,battery_metals,Manganese ores and concentrates,ores,Manganese ore for steel and battery-grade MnSO4; South Africa/Gabon/Australia,LOW,Includes ferruginous Mn ores >=20% Mn
28201000,battery_metals,Manganese dioxide,chemical_precursors,EMD/CMD for alkaline and lithium-ion battery cathodes,LOW,
28209010,battery_metals,Manganese oxide >=77% Mn content,chemical_precursors,High-grade manganese oxide; battery and chemical applications,LOW,
28209090,battery_metals,Manganese oxides other,chemical_precursors,Lower-grade manganese oxides; steel and chemical use,MEDIUM,May include non-battery-relevant grades
